,Tree_code,size,Species,Year,DriestQPRCP,WettestMonthPRCP,DriestMonthPRCP,TotalPRCP,HottestMonthTMAX,HottestMonthTAVG,CoolestMonthTAVG,CoolestMonthTMIN,TotalAnnualTemperature,PRCP_Seasonality,HEAT_Seasonality,COOL_Seasonality,Ca,Ci
145,CT114,8,Chukrasia_tabularis,1989,18,263,0,842,39.4,32.3,23.9,16.9,340,0.021377672,0.095,0.070294118,352.8,228.119841
146,ma002,8,Melia_azedarach,1964,33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.022510232,0.095435685,0.069353883,319.4,215.1363905
147,ma003,8,Melia_azedarach,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,224.4716814
148,ma004,27,Melia_azedarach,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,221.3946055
149,ma005,8,Melia_azedarach,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,223.2803547
150,ma006,8,Melia_azedarach,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,213.2999246
151,ma007,8,Melia_azedarach,1964,33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.022510232,0.095435685,0.069353883,319.4,195.2340006
152,ma010,8,Melia_azedarach,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,253.9602198
153,ma011,8,Melia_azedarach,1966,91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.064174894,0.093124456,0.076008123,321.2,220.8772622
154,ma012,27,Melia_azedarach,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,211.5526652
155,ma012,8,Melia_azedarach,1974,13,270,0,1116,37,31.3,25.1,17.2,338.6,0.011648746,0.092439457,0.074128766,330.1,212.2386011
156,ma013,27,Melia_azedarach,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,199.8177912
157,ma013,8,Melia_azedarach,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,197.6695921
158,ma014,27,Melia_azedarach,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,225.7014489
159,ma014,8,Melia_azedarach,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,202.1030999
160,ma015,8,Melia_azedarach,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,197.2088246
161,ma016,27,Melia_azedarach,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,211.0201408
162,ma018,27,Melia_azedarach,1993,64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.071829405,0.091866589,0.071386776,357,216.057866
163,ma018,8,Melia_azedarach,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,222.8431979
164,ma019,8,Melia_azedarach,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,236.2828304
165,ma021,27,Melia_azedarach,1974,13,270,0,1116,37,31.3,25.1,17.2,338.6,0.011648746,0.092439457,0.074128766,330.1,207.1975413
166,ma021,8,Melia_azedarach,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,212.3338263
167,ma024,27,Melia_azedarach,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,195.4689339
168,ma024,8,Melia_azedarach,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,205.4569719
169,ma025,27,Melia_azedarach,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,198.1707822
